lga_name11, lga_code11, total_division_c_offences, total_division_e_offences, total_division_a_offences, total_division_f_offences, reference_period, total_division_b_offences, total_division_d_offences
"Alpine (S)","20110",53,68,198,1,"2019",184,69
"Ararat (RC)","20260",137,411,293,2,"2019",473,117
"Ballarat (C)","20570",414,1884,1815,23,"2019",6142,611
"Banyule (C)","20660",513,2038,1197,13,"2019",4972,498
"Bass Coast (S)","20740",154,378,527,5,"2019",1145,173
"Baw Baw (S)","20830",349,897,786,9,"2019",2201,269
"Bayside (C)","20910",265,506,586,13,"2019",2940,238
"Benalla (RC)","21010",93,206,259,7,"2019",546,93
"Boroondara (C)","21110",319,586,843,15,"2019",5251,212
"Brimbank (C)","21180",1159,3129,2997,27,"2019",10754,1121
"Buloke (S)","21270",51,27,49,2,"2019",121,16
"Campaspe (S)","21370",182,814,570,8,"2019",2251,198
"Cardinia (S)","21450",362,1111,1043,20,"2019",3284,352
"Casey (C)","21610",1468,2915,3932,16,"2019",12115,1141
"Central Goldfields (S)","21670",103,306,308,6,"2019",444,90
"Colac-Otway (S)","21750",83,262,416,3,"2019",755,133
"Corangamite (S)","21830",32,170,129,1,"2019",293,46
"Darebin (C)","21890",740,1446,1667,20,"2019",10249,736
"East Gippsland (S)","22110",275,993,1136,18,"2019",1728,431
"Frankston (C)","22170",1065,2850,2286,23,"2019",7408,1132
"Gannawarra (S)","22250",41,143,148,2,"2019",387,66
"Glenelg (S)","22410",131,206,223,3,"2019",563,119
"Golden Plains (S)","22490",33,81,123,1,"2019",412,18
"Greater Bendigo (C)","22620",562,2406,1803,22,"2019",5387,845
"Greater Geelong (C)","22750",1134,2722,3229,104,"2019",12206,1428
"Greater Shepparton (C)","22830",675,1956,1357,17,"2019",4257,689
"Hepburn (S)","22910",25,93,156,2,"2019",457,23
"Greater Dandenong (C)","22670",1387,2460,2815,57,"2019",9855,1421
"Glen Eira (C)","22310",379,603,851,22,"2019",4053,431
"Hindmarsh (S)","22980",42,41,86,1,"2019",122,52
"Hobsons Bay (C)","23110",350,976,1040,56,"2019",3365,518
"Horsham (RC)","23190",172,849,475,10,"2019",1149,203
"Hume (C)","23270",1513,3176,3376,44,"2019",11915,1207
"Indigo (S)","23350",22,92,101,3,"2019",257,30
"Kingston (C)","23430",737,1540,1556,75,"2019",6670,760
"Knox (C)","23670",1098,1313,1596,18,"2019",6345,663
"Latrobe (C)","23810",722,3252,2839,34,"2019",6798,977
"Loddon (S)","23940",18,97,88,0,"2019",254,36
"Macedon Ranges (S)","24130",136,444,358,9,"2019",1369,152
"Manningham (C)","24210",296,433,644,9,"2019",3026,154
"Mansfield (S)","24250",15,65,81,20,"2019",192,70
"Maribyrnong (C)","24330",445,706,1058,29,"2019",5421,530
"Maroondah (C)","24410",549,1695,1146,19,"2019",4299,614
"Melbourne (C)","24600",2839,3746,4750,456,"2019",19240,4573
"Melton (S)","24650",524,1844,1877,25,"2019",6237,593
"Mildura (RC)","24780",526,1606,1358,21,"2019",3163,700
"Mitchell (S)","24850",284,1040,912,13,"2019",1868,340
"Moira (S)","24900",108,377,407,6,"2019",1177,115
"Monash (C)","24970",549,934,1414,74,"2019",6932,451
"Moonee Valley (C)","25060",474,765,1024,25,"2019",5290,535
"Moorabool (S)","25150",88,405,383,2,"2019",1313,101
"Moreland (C)","25250",773,1572,2124,42,"2019",9326,717
"Mornington Peninsula (S)","25340",680,1967,1588,60,"2019",5702,885
"Mount Alexander (S)","25430",85,202,171,5,"2019",434,69
"Moyne (S)","25490",33,71,177,1,"2019",258,44
"Murrindindi (S)","25620",76,96,178,10,"2019",344,56
"Nillumbik (S)","25710",129,252,336,4,"2019",1259,104
"Northern Grampians (S)","25810",98,175,257,2,"2019",387,65
"Port Phillip (C)","25900",865,1095,1711,55,"2019",8192,886
"Pyrenees (S)","25990",102,71,144,2,"2019",293,24
"Queenscliffe (B)","26080",0,13,22,0,"2019",277,7
"South Gippsland (S)","26170",69,407,307,5,"2019",586,76
"Southern Grampians (S)","26260",232,343,271,12,"2019",558,158
"Stonnington (C)","26350",756,620,1214,40,"2019",7132,757
"Strathbogie (S)","26430",17,73,184,3,"2019",290,34
"Surf Coast (S)","26490",43,147,225,7,"2019",646,74
"Swan Hill (RC)","26610",146,591,468,19,"2019",1146,257
"Towong (S)","26670",6,17,48,8,"2019",107,21
"Wangaratta (RC)","26700",240,428,487,7,"2019",883,234
"Warrnambool (C)","26730",326,809,768,11,"2019",1824,306
"Wellington (S)","26810",202,1024,859,21,"2019",1677,364
"West Wimmera (S)","26890",21,28,39,0,"2019",63,9
"Whitehorse (C)","26980",420,787,1140,18,"2019",5734,363
"Whittlesea (C)","27070",802,2336,2746,31,"2019",9429,732
"Wodonga (RC)","27170",250,497,616,7,"2019",1509,300
"Wyndham (C)","27260",789,2286,2467,49,"2019",8519,794
"Yarra (C)","27350",684,957,1450,32,"2019",9355,919
"Yarra Ranges (S)","27450",593,1355,1389,27,"2019",4401,498
"Yarriambiack (S)","27630",9,63,130,2,"2019",186,32
