count_sep_2017, lga_name16, median_sep_2017, lga_code16
13,"Southern Grampians (S)",180,"26260"
905,"Stonnington (C)",510,"26350"
6,"Strathbogie (S)",190,"26430"
27,"Surf Coast (S)",320,"26490"
32,"Swan Hill (RC)",230,"26610"
null,"Towong (S)",null,"26670"
17,"Alpine (S)",210,"20110"
24,"Ararat (RC)",260,"20260"
132,"Ballarat (C)",230,"20570"
342,"Banyule (C)",380,"20660"
21,"Bass Coast (S)",250,"20740"
49,"Baw Baw (S)",265,"20830"
286,"Bayside (C)",465,"20910"
31,"Benalla (RC)",210,"21010"
762,"Boroondara (C)",430,"21110"
180,"Brimbank (C)",310,"21180"
null,"Buloke (S)",null,"21270"
65,"Campaspe (S)",220,"21370"
53,"Cardinia (S)",280,"21450"
133,"Casey (C)",315,"21610"
11,"Central Goldfields (S)",225,"21670"
18,"Colac-Otway (S)",250,"21750"
10,"Corangamite (S)",200,"21830"
576,"Darebin (C)",380,"21890"
41,"East Gippsland (S)",230,"22110"
256,"Frankston (C)",310,"22170"
11,"Gannawarra (S)",180,"22250"
109,"Greater Shepparton (C)",210,"22830"
6,"Hepburn (S)",245,"22910"
null,"Hindmarsh (S)",null,"22980"
204,"Hobsons Bay (C)",345,"23110"
49,"Horsham (RC)",225,"23190"
178,"Hume (C)",330,"23270"
null,"Indigo (S)",null,"23350"
29,"Macedon Ranges (S)",330,"24130"
207,"Manningham (C)",420,"24210"
null,"Mansfield (S)",null,"24250"
416,"Maribyrnong (C)",370,"24330"
258,"Maroondah (C)",350,"24410"
2579,"Melbourne (C)",580,"24600"
46,"Melton (C)",278,"24650"
65,"Mildura (RC)",200,"24780"
15,"Mitchell (S)",250,"24850"
45,"Moira (S)",210,"24900"
367,"Monash (C)",390,"24970"
403,"Moonee Valley (C)",385,"25060"
26,"Moorabool (S)",278,"25150"
774,"Moreland (C)",390,"25250"
162,"Mornington Peninsula (S)",328,"25340"
398,"Greater Geelong (C)",290,"22750"
43,"Wangaratta (RC)",220,"26700"
86,"Warrnambool (C)",250,"26730"
174,"Knox (C)",350,"23670"
null,"Loddon (S)",null,"23940"
43,"Wellington (S)",225,"26810"
null,"West Wimmera (S)",null,"26890"
520,"Whitehorse (C)",410,"26980"
162,"Whittlesea (C)",320,"27070"
135,"Wyndham (C)",300,"27260"
601,"Yarra (C)",525,"27350"
93,"Yarra Ranges (S)",345,"27450"
null,"Yarriambiack (S)",null,"27630"
104,"Latrobe (C) (Vic.)",190,"23810"
5,"Moyne (S)",245,"25490"
8,"Murrindindi (S)",243,"25620"
19,"Nillumbik (S)",355,"25710"
11,"Northern Grampians (S)",180,"25810"
890,"Port Phillip (C)",480,"25900"
null,"Pyrenees (S)",null,"25990"
null,"Queenscliffe (B)",null,"26080"
20,"South Gippsland (S)",223,"26170"
85,"Wodonga (C)",230,"27170"
23,"Glenelg (S)",170,"22410"
null,"Golden Plains (S)",null,"22490"
164,"Greater Bendigo (C)",250,"22620"
452,"Greater Dandenong (C)",310,"22670"
489,"Kingston (C) (Vic.)",380,"23430"
8,"Mount Alexander (S)",255,"25430"
771,"Glen Eira (C)",420,"22310"
